EIN,NAME,ICO,STREET,CITY,STATE,ZIP,GROUP,SUBSECTION,AFFILIATION,CLASSIFICATION,RULING,DEDUCTIBILITY,FOUNDATION,ACTIVITY,ORGANIZATION,STATUS,TAX_PERIOD,ASSET_CD,INCOME_CD,FILING_REQ_CD,PF_FILING_REQ_CD,ACCT_PD,ASSET_AMT,INCOME_AMT,REVENUE_AMT,NTEE_CD,SORT_NAME,ntee_category
161622664,ARMADAS FOUNDATION,% R KIRSCHNER,CO R KIRSCHNER 137-05 72ND ROAD,FLUSHING,NY,11367-0000,0,3,3,1000,200211,1,4,0,1,1,202309.0,9,6,0,1,9,60749619.0,2693987.0,,T22,,"Philanthropy, Voluntarism, and Grantmaking Foundations"
135574127,INTERNATIONAL BROTHERHOOD OF ELECTRICAL WORKERS,% CHRISTOPHER ERIKSON,158-11 HARRY VAN ARSDALE JR AVENUE,FLUSHING,NY,11365-3085,64,5,9,3000,194008,2,0,263264279,5,1,202312.0,9,9,1,0,12,60506811.0,50945324.0,28328759.0,,0003 LOCAL UNION,
130891035,JOINT INDUSTRY BOARD OF THE ELECTRICAL INDUSTRY,,158-11 HARRY VAN ARSDALE JR AV,FLUSHING,NY,11365-3085,0,5,3,3000,194501,2,0,566000000,5,1,202309.0,9,9,1,0,9,58795852.0,56526647.0,56526647.0,,,
131853892,VACATION EXPENSE PLAN OF THE JOINT BOARD OF THE ELECTRICAL INDUSTRY,% JOINT INSDUSTRY BOARD,158-11 HARRY VAN ARSDALE JR AVENUE,FLUSHING,NY,11365-3085,0,9,3,1000,198501,2,0,263269000,2,1,202312.0,9,8,1,0,12,52676731.0,39422051.0,1140104.0,,,
800400043,E & C PROPERTY HOLDINGS SOUTH INC,% GERALD FINKEL,158-11 HARRY VAN ARSDALE JR AVENUE,FLUSHING,NY,11365-3085,0,2,3,1000,201109,2,0,0,1,1,202309.0,9,0,2,0,9,52375274.0,0.0,0.0,J11,,"Employment, Job Related"
274719998,NEW YORK QUEENS MEDICINE AND SURGERY PC,% KEVIN WARD,5645 MAIN ST,FLUSHING,NY,11355-5045,0,3,3,1000,201406,1,17,0,1,1,202312.0,8,9,1,0,12,48756251.0,273034054.0,273034054.0,E31,,Health - General and Rehabilitative
911917512,QUEENS COLLEGE SPECIAL PROJECTS FUND INC,% JEANNE DEMASTERS,65-30 KISSENA BOULEVARD KIELY 1305,FLUSHING,NY,11367-1597,0,3,3,1000,199808,1,13,59000000,1,1,202406.0,8,7,1,0,6,48268541.0,6638360.0,6638360.0,T50Z,,"Philanthropy, Voluntarism, and Grantmaking Foundations"
135545082,INTERNATIONAL UNION OF OPERATING ENGINEERS LOCAL 14-14B,% LYNN DITZEL,159-18 NORTHERN BOULEVARD,FLUSHING,NY,11358-1655,0,5,3,3000,194409,2,0,263000000,5,1,202406.0,8,8,1,0,6,45493310.0,25770916.0,5613874.0,,,
611735214,ELECTRICAL INDUSTRY APPRENTICE TRAINING PROGRAM,% VITO V MUNDO,158-11 HARRY VAN ARSDALE JR AVENUE,FLUSHING,NY,11365-3085,0,5,3,3000,201512,2,0,0,2,1,202309.0,8,8,1,0,9,44544642.0,36446366.0,11413766.0,J40,,"Employment, Job Related"
133156738,CHINESE CHRISTIAN HERALD CRUSADES INC,% WONG & CO CPAS,15603 HORACE HARDING EXPY,FLUSHING,NY,11367-1250,0,3,3,7000,198311,1,15,7000000,1,1,202406.0,8,8,1,0,6,38328124.0,11871190.0,10357697.0,P84Z,,Human Services - Multipurpose and Other
112392159,INTERNATIONAL UNION OF OPERATING ENGINEERS LOCAL 14-14B WLFRE FUND,,159-18 NORTHERN BLVD,FLUSHING,NY,11358-1655,0,9,3,1000,197708,2,0,264000000,2,1,202306.0,8,8,1,0,6,37656635.0,48351749.0,28689263.0,,,
112278998,QUEENS MUSEUM OF ART NEW YORK CITY BUILDING,,FLUSHING MEADOW PARK,FLUSHING,NY,11368-0000,0,3,3,1200,197208,1,15,119000000,1,1,202306.0,8,7,1,0,6,36000981.0,6865180.0,6191125.0,A510,FLUSHING MEADOWS CORONA PARK,"Arts, Culture, and Humanities"
131740041,SHIELD OF DAVID INC,,14461 ROOSEVELT AVE,FLUSHING,NY,11354-6252,0,3,3,1200,193711,1,11,46161180,1,1,202306.0,8,8,1,0,6,28842467.0,30168904.0,30168904.0,P820,THE SHIELD INSTITUTE,Human Services - Multipurpose and Other
133323765,CENTERLIGHT HEALTH SYSTEM INC,,13665 37TH AVE,FLUSHING,NY,11354-4110,0,3,3,1000,198706,1,17,603994000,1,1,202312.0,8,6,1,0,12,28075118.0,2196646.0,2196646.0,Z99Z,LENY TIRTASAPUTRA,Unknown
111672827,YESHIVA OF CENTRAL QUEENS,% DORIS FRIEDMAN,14737 70TH RD,FLUSHING,NY,11367-1719,0,3,3,7000,195808,1,11,59000000,5,1,202307.0,8,8,1,0,7,27249913.0,23901228.0,15540679.0,,,
392068169,E & C PROPERTY HOLDINGS INC,% GERALD FINKEL,158-11 HARRY VAN ARSDALE JR AVENUE,FLUSHING,NY,11365-3085,0,2,3,1000,200908,2,0,0,1,1,202309.0,8,0,2,0,9,26800752.0,0.0,0.0,J11,,"Employment, Job Related"
800580089,ELECTRICAL INDUSTRY REAL ESTATE FUND LLC,% VITO MUNDO,158-11 HARRY VAN ARSDALE JR AVENUE,FLUSHING,NY,11365-3085,0,5,3,3000,201106,2,0,0,1,1,202312.0,8,8,1,0,12,22743157.0,12191324.0,862875.0,,ANNUITY PLAN OF THE ELECTRICAL IND,
112657545,QUEENS PUBLIC COMMUNICATIONS CORPORATION,,41-61 KISSENA BLVD,FLUSHING,NY,11355-3181,0,3,3,1000,198311,1,15,119000000,1,1,202406.0,8,8,1,0,6,20037893.0,14850813.0,4696458.0,A300,,"Arts, Culture, and Humanities"
131739920,BETH ABRAHAM SERVICES,,13665 37TH AVE,FLUSHING,NY,11354-4110,0,3,3,1000,193605,1,16,150000000,1,1,202312.0,8,4,1,0,12,19959320.0,432100.0,432100.0,E22,,Health - General and Rehabilitative
136100908,HOSPITALIZATION TRUST FUND OF THE ELECTRICAL MANUFACTURING INDUSTRY,% JOINT INDUSTRY BOARD,158-11 HARRY VAN ARSDALE JR AVENUE,FLUSHING,NY,11365-3085,0,9,3,1000,195810,2,0,179265150,5,1,202312.0,8,8,1,0,12,17969652.0,32737388.0,24951595.0,,,
132997450,AUGUSTINE FOUNDATION,% D WEICHSELBAUM CPA,147 4077 RD,FLUSHING,NY,11367-0000,0,3,3,1000,198006,1,4,602561000,1,1,202306.0,8,8,0,1,6,16054255.0,10495345.0,,,HARRY J SILBER,
136318522,OPERATING ENGINEERS LOCAL 14-14B TRAINING FUND,,159-18 NORTHERN BLVD,FLUSHING,NY,11358-1655,0,3,3,1000,199203,1,11,46030126,2,1,202306.0,8,6,1,0,6,13704112.0,4178829.0,2403973.0,J220,,"Employment, Job Related"
111635083,QUEENS BOTANICAL GARDEN SOCIETY INC,,4350 MAIN ST,FLUSHING,NY,11355-4742,0,3,3,2000,194812,1,15,59000000,1,1,202306.0,8,8,1,0,6,13336874.0,13797379.0,13740602.0,C410,,"Environmental Quality, Protection, and Beautification"
113284763,BETH ABRAHAM-CNR FOUNDATION,% JOHN KEHOE,13-65 37TH AVENUE,FLUSHING,NY,11354-0000,0,3,3,1000,199509,1,15,994000000,1,1,202312.0,8,5,1,0,12,13313424.0,876710.0,797703.0,T30,,"Philanthropy, Voluntarism, and Grantmaking Foundations"
113209574,UNITED PRESBYTERIAN & REFORMED ADULT MINISTRIES INC,% FLUSHING HOUSE AND UNITED LI,38 20 BOWNE ST,FLUSHING,NY,11354-5638,3876,3,6,7000,199501,1,10,2000000,1,1,202212.0,8,7,1,0,12,13300345.0,8035602.0,8035602.0,P810,,Human Services - Multipurpose and Other
260512851,THE YAD FOUNDATION,% CLIFFSIDE,11919 GRAHAM CT,FLUSHING,NY,11354-1047,0,3,3,1000,200811,1,4,0,2,1,202312.0,8,6,0,1,12,10687164.0,1729110.0,,T20,,"Philanthropy, Voluntarism, and Grantmaking Foundations"
111803692,SOLOMON SCHECHTER SCHOOL OF QUEENS,,7616 PARSONS BLVD,FLUSHING,NY,11366-1041,0,3,3,2000,195802,1,11,46030029,1,1,202306.0,7,7,1,0,6,8540692.0,9756239.0,9422710.0,B20Z,,Education
133275668,QUEENS HATZOLO AID INC,,14123 72ND CRES,FLUSHING,NY,11367-2329,0,3,3,1000,198905,1,15,602603000,1,1,202312.0,7,6,1,0,12,8206552.0,3341344.0,3336557.0,,,
463849287,QUEENS COLLEGE AUXILIARY ENTERPRISES CORPORATION,% AP DEPT -KY265,65-30 KISSENA BLVD KY265,FLUSHING,NY,11367-1575,0,3,3,2000,201407,1,16,0,1,1,202306.0,7,7,1,0,6,8147289.0,6105814.0,6105814.0,B99,,Education
133609811,THE KOREAN-AMERICAN FAMILY SERVICE CENTER INC,% JEEHAE FISCHER,PO BOX 541429,FLUSHING,NY,11354-7429,0,3,3,1000,199202,1,15,559000000,1,1,202309.0,7,6,1,0,9,7962981.0,4676390.0,4424882.0,P43Z,,Human Services - Multipurpose and Other
113498583,VOELKER-ORTH MUSEUM,,14919 38TH AVE,FLUSHING,NY,11354-4839,0,3,3,1000,200006,1,4,0,5,1,202307.0,7,5,0,1,7,6399873.0,927832.0,,T22,,"Philanthropy, Voluntarism, and Grantmaking Foundations"
113632920,SOUTH ASIAN COUNCIL FOR SOCIAL SERV ICES INC,% SUDHA ACHARYA,14306 45TH AVE,FLUSHING,NY,11355-2231,0,3,3,1000,200311,1,15,0,1,1,202312.0,7,7,1,0,12,6303466.0,6016216.0,5944816.0,P84,,Human Services - Multipurpose and Other
112871178,LEGAL SERVICES FUND OF THE ELECTRICAL INDUSTRY,% THE JOINT INDUSTRY BOARD OF THE E,158-11 HARRY VAN ARSDALE JR AVENUE,FLUSHING,NY,11365-3085,0,9,3,1000,199501,2,0,279000000,1,1,202309.0,7,6,1,0,9,6285382.0,2008819.0,707835.0,,,
510195150,CORRECTION CAPTAINS ASSOCIATION SECURITY BENEFITS FUND-RETIREES,% FRANK J PRIAL II,3050 WHITESTONE EXPY STE 400,FLUSHING,NY,11354-1995,0,9,3,1000,197607,2,0,265000000,2,1,202312.0,7,7,1,0,12,5964885.0,6220223.0,3549438.0,,,
61636083,JACK AND DOROTHY KUPFERBERG FAMILY FOUNDATION,% SETH KUPFERBERG,13138 SANFORD AVE,FLUSHING,NY,11355-4231,0,3,3,1000,200207,1,4,0,2,1,202311.0,7,7,0,1,11,5314518.0,7382305.0,,T22,KUPFERBERG DOROTHY ET AL TTEE,"Philanthropy, Voluntarism, and Grantmaking Foundations"
271643939,COMPANION ANIMAL NETWORK INC,,157 -06 65TH AVE,FLUSHING,NY,11367-0000,0,3,3,1000,200804,1,16,0,1,1,202312.0,7,6,1,0,12,5311268.0,1632895.0,1632895.0,,,
133994933,QUEENS YESHIVA KETANA INC,,7815 PARSONS BLVD,FLUSHING,NY,11366-1929,0,3,3,2700,199903,1,11,0,1,1,202306.0,6,7,1,0,6,4959068.0,5206137.0,4897665.0,B24,,Education
454795032,NEW YORK QUEENS CHARTER VENTURES INC,% KEVIN WARD,5645 MAIN ST,FLUSHING,NY,11355-5045,0,3,3,1000,201409,1,21,0,1,1,202312.0,6,0,2,0,12,4630535.0,0.0,0.0,E21,,Health - General and Rehabilitative
200351906,YOUNG WOMENS CHRISTIAN ASSOCIATION OF QUEENS,% HE MI HAHN,4207 PARSONS BLVD,FLUSHING,NY,11355-2158,0,3,3,1200,200403,1,15,0,1,1,202406.0,6,6,1,0,6,4596919.0,2619853.0,2574511.0,P27,,Human Services - Multipurpose and Other
821600882,TZEDAKAH V CHESED INC,,7212 139TH ST,FLUSHING,NY,11367-2322,0,3,3,1000,201802,1,15,0,1,1,202312.0,6,5,1,0,12,4543862.0,889865.0,889865.0,Q33,,"International, Foreign Affairs, and National Security"
112577741,QUEENS BNAI BRITH HOUSING DEVELOPEMENT FUND CO INC,,138-49 ELDER AVENUE,FLUSHING,NY,11355-4070,0,3,3,1000,198109,1,16,995381000,1,1,202406.0,6,6,1,0,6,4416456.0,3795506.0,3795506.0,L220,,"Housing, Shelter"
202310333,GREATCARE INC,,3712 PRINCE ST STE 9B,FLUSHING,NY,11354-4652,0,3,3,1000,200506,1,15,0,1,1,202312.0,6,9,1,0,12,4389149.0,52723877.0,52723877.0,P80,,Human Services - Multipurpose and Other
133566484,PARK HOUSING DEVELOPMENT FUND COMPANY INC,% BETH ABRAHAM HOSPITAL,13665 37TH AVE,FLUSHING,NY,11354-4110,0,3,3,1000,199008,1,16,382000000,1,1,202312.0,6,6,1,0,12,4307510.0,1197107.0,1197107.0,N99Z,,"Recreation, Sports, Leisure, Athletics"
112710506,MINKWON CENTER FOR COMMUNITY ACTION INC,,13329 41ST AVE STE 202,FLUSHING,NY,11355-3356,0,3,3,1000,198807,1,15,408000000,1,1,202312.0,6,6,1,0,12,4275288.0,2801792.0,2762598.0,P84Z,,Human Services - Multipurpose and Other
453676634,TIEN RAN BUDDHA CHURCH,% SANDY SU,13620 38TH AVE STE 9B,FLUSHING,NY,11354-4232,0,3,3,7000,201203,1,10,0,1,1,202312.0,6,3,6,0,12,4244640.0,95762.0,95762.0,X50,,"Religion Related, Spiritual Development"
112289702,CENTER FOR NURSING & REHABILITATION INC,,13665 37TH AVE,FLUSHING,NY,11354-4110,0,3,3,1000,197305,1,16,152000000,1,1,202312.0,6,3,2,0,12,4231446.0,25000.0,25000.0,E91,,Health - General and Rehabilitative
276620623,MAGNOLIA FOUNDATION,% SELIG K SOLOMON,7302 137TH ST,FLUSHING,NY,11367-2860,0,3,3,1000,201009,1,4,0,2,1,202312.0,6,5,0,1,12,4022331.0,868697.0,,T22,SELIG K SOLOMON TTEE,"Philanthropy, Voluntarism, and Grantmaking Foundations"
133760575,MVP HOUSING DEVELOPMENT FUND COMPANY INC,% BETH ABRAHAM HOSPITAL,13665 37TH AVE,FLUSHING,NY,11354-4110,0,3,3,1000,199410,1,16,994380000,1,1,202312.0,6,5,1,0,12,3823866.0,988567.0,988567.0,L22,,"Housing, Shelter"
112620092,THE OASIS FOUNDATION,% GRETA CHANG,PO BOX 527077,FLUSHING,NY,11352-7077,0,3,3,1000,198311,1,4,91093123,1,1,202312.0,6,4,0,1,12,3673240.0,407209.0,,,,
116080523,QUEENS COLLEGE STUDENT SERVICES CORPORATION,,6530 KISSENA BLVD,FLUSHING,NY,11367-1575,0,3,3,2000,196703,1,13,59349000,1,1,202406.0,6,6,1,0,6,3543955.0,2852219.0,2852219.0,B80Z,,Education
112715180,LIFE-SKILLS HOME TRAINING TUTORIAL PROGRAM FOR PRE-SCHOOLERS INC,,2420 PARSONS BLVD,FLUSHING,NY,11357-3444,0,3,3,1200,198509,1,15,160149059,1,1,202306.0,6,8,1,0,6,3497694.0,11367801.0,11847585.0,E50Z,,Health - General and Rehabilitative
113577404,HAPPY BUDDHA PRECIOUS TEMPLE INC,% JAMES LIN,13537 37TH AVE APT 2A,FLUSHING,NY,11354-6601,0,3,3,1000,200104,1,15,0,1,1,202312.0,6,4,1,0,12,3457024.0,347704.0,347704.0,X50,,"Religion Related, Spiritual Development"
261888879,TORAHANYTIMECOM INC,% SUREN KAYLYAKOV,14402 69TH AVE,FLUSHING,NY,11367-1710,0,3,3,7000,200812,1,15,0,1,1,202312.0,6,6,1,0,12,3280436.0,2493276.0,2493276.0,X30,,"Religion Related, Spiritual Development"
593829893,AVIGDORS HELPING HAND INC,% DOV B ELIAS,13845 78TH DR,FLUSHING,NY,11367-3237,0,3,3,1000,200810,1,15,0,1,1,202312.0,6,6,1,0,12,3186444.0,1612074.0,1612074.0,P20,,Human Services - Multipurpose and Other
133482590,SCHNURMACHER CRN,,13665 37TH AVE,FLUSHING,NY,11354-4110,0,3,3,1000,199006,1,16,152000000,1,1,202312.0,6,5,1,0,12,3088814.0,633998.0,633998.0,,SCHNURMACHER NURSING HOME,
823869756,HATZOLAH EMERGENCY AIR RESPONSE TEAM INC,% RONNIEL LEVY,7832 138TH ST,FLUSHING,NY,11367-3253,0,3,3,1000,201804,1,15,0,1,1,202112.0,6,7,1,0,12,2915504.0,7411399.0,7276709.0,E62,HATZOLAIR,Health - General and Rehabilitative
61636085,KENNETH AND HARRIET R KUPFERBERG FAMILY FOUNDATION,% MARK KUPFERBERG,13138 SANFORD AVE,FLUSHING,NY,11355-4231,0,3,3,1000,200301,1,4,0,1,1,202311.0,6,5,0,1,11,2914764.0,697329.0,,,,
115219005,DENTAL BENEFITS PLAN OF THE ELEVATOR INDUSTRY,% HUMBERTO J RESTREPO,158 11 HARRY VAN ARSDALE JR AVE,FLUSHING,NY,11365-3085,0,9,3,1000,198510,2,0,163000000,2,1,202309.0,6,6,1,0,9,2752111.0,3682607.0,2860489.0,,,
200177587,GARDEN OF HOPE INC,,4170 MAIN ST,FLUSHING,NY,11355-3823,0,3,3,1200,200410,1,15,0,1,1,202312.0,6,6,1,0,12,2726370.0,2833714.0,2483013.0,P43,,Human Services - Multipurpose and Other
112652182,FLUSHING COUNCIL ON CULTURE AND THE ARTS INC,,13735 NORTHERN BLVD,FLUSHING,NY,11354-4120,0,3,3,2000,198311,1,15,90000000,1,1,202306.0,6,6,1,0,6,2725903.0,3371918.0,3348570.0,A260,,"Arts, Culture, and Humanities"
208111269,ELISA AND HOWARD MERMELSTEIN FOUNDATION,% HOWARD MERMELSTEIN,13747 71ST AVE,FLUSHING,NY,11367-1938,0,3,3,1000,200706,1,4,0,2,1,202311.0,6,5,0,1,11,2722341.0,942557.0,,T22,,"Philanthropy, Voluntarism, and Grantmaking Foundations"
136266115,MARGARET TIETZ CENTER FOR NURSING CARE,,13665 37TH AVE,FLUSHING,NY,11354-4110,0,3,3,1000,196806,1,16,152000000,1,1,202312.0,6,1,2,0,12,2583112.0,1357.0,1357.0,E91,,Health - General and Rehabilitative
133035012,CORRECTION CAPTAINS ASSOCIATION INC,,3050 WHITESTONE EXPY STE 400,FLUSHING,NY,11354-1995,0,5,3,3000,198206,2,0,261000000,1,1,202312.0,6,6,1,0,12,2533563.0,1988787.0,1227461.0,J40Z,,"Employment, Job Related"
133936959,AGNUS NOSTER FOUNDATION,% JOSEPH V RAAB F D STELLA INT INC,3011 PARSONS BLVD APT 4B,FLUSHING,NY,11354-2304,0,3,3,1000,199707,1,4,0,1,1,202402.0,6,4,0,1,2,2313549.0,487352.0,,T20,,"Philanthropy, Voluntarism, and Grantmaking Foundations"
352573997,IUOE LOCAL 14-14B LABOR MANAGEMENT COOPERATION TRUST FUND,,159-18 NORTHERN BOULEVARD,FLUSHING,NY,11358-1655,0,5,3,3000,201701,2,0,0,2,1,202306.0,6,5,1,0,6,2242790.0,571596.0,571596.0,J40,,"Employment, Job Related"
843277905,21 HOPE FOUNDATION INC,,45-15 162TH ST 203,FLUSHING,NY,11358-3157,0,3,3,1000,202005,1,15,0,1,1,202312.0,6,6,1,0,12,2206624.0,1079782.0,142633.0,B82,,Education
454549476,DEVELOPMENT FOR FREEDOM INTERNATIONAL USA INC,% HYE RYUN KIM,3125 UNION ST,FLUSHING,NY,11354-2346,0,3,3,1000,201205,1,15,0,1,1,202312.0,6,5,1,0,12,2180626.0,761635.0,761635.0,Q33,,"International, Foreign Affairs, and National Security"
133863676,NEW YORK SERVICE CENTER FOR CHINESE STUDY FELLOWS INC,,13620 38TH AVE STE 3G,FLUSHING,NY,11354-4232,0,3,3,1000,199608,1,16,994044059,1,1,202312.0,6,2,2,0,12,2154962.0,18000.0,18000.0,Q220,,"International, Foreign Affairs, and National Security"
263119914,IMMANUEL GENIUS INC,,16315 OAK AVE,FLUSHING,NY,11358-3725,0,3,3,1000,201004,1,15,0,1,1,202312.0,6,6,1,0,12,2137397.0,2304715.0,2304715.0,B90,,Education
133076576,FISHOFF FAMILY FOUNDATION,% BENJAMIN FISHOFF,13712 73RD TER,FLUSHING,NY,11367-2304,0,3,3,1000,198109,1,4,602000000,1,1,202407.0,6,5,0,1,7,2103085.0,593316.0,,,,
113577400,PU TI BUDDHIST ASSOCIATION OF AMERICA INC,% XIANFENG ZOU,132-50 41 AVE,FLUSHING,NY,11355-1301,0,3,3,1700,200103,1,10,0,1,1,202312.0,6,4,6,0,12,2089936.0,387986.0,321961.0,X50,,"Religion Related, Spiritual Development"
136181436,CCA SECURITY BENIFITS FUND,,3050 WHITESTONE EXPY STE 400,FLUSHING,NY,11354-1995,0,9,3,1000,196507,2,0,264000000,2,1,202312.0,6,6,1,0,12,2016335.0,2194338.0,962002.0,,,
550862935,AMERICAN FA YU BUDDHIST ASSOCIATION FA YU TEMPLE INC,% PIN DAO WANG,13761 KALMIA AVE,FLUSHING,NY,11355-4137,0,3,3,1000,200501,1,10,0,1,1,202312.0,6,4,1,0,12,1844977.0,179276.0,179276.0,X50,,"Religion Related, Spiritual Development"
113018695,AARON LAUB MEMORIAL FOUNDATION INC,,3050 WHITESTONE EXPY STE 300,FLUSHING,NY,11354-1995,0,3,3,1000,199005,1,4,602000000,1,1,202311.0,6,5,0,1,11,1816515.0,772268.0,,,,
223625504,GOLDIE RUTENBERG AND PARENTS SHAINA RIVA ET AL FAMILY FOUNDATION,% SAMUEL MASLANSKY,13715 76TH AVE,FLUSHING,NY,11367-2817,0,3,3,1000,199904,1,4,0,1,1,202312.0,6,6,0,1,12,1814122.0,1495240.0,,T21,,"Philanthropy, Voluntarism, and Grantmaking Foundations"
133518873,ZIGEN FUND INC,,136-61 41ST AVE SUITE 355,FLUSHING,NY,11355-2464,0,3,3,1000,199007,1,15,568000000,1,1,202312.0,6,5,1,0,12,1796827.0,572444.0,572444.0,Z99Z,,Unknown
464406388,GONDESAN GREAT MERCIFUL WATER USA ASSOCIATION LTD,,133-38 SANFORD AVENUE SUITE PH-B,FLUSHING,NY,11355-3967,0,3,3,7000,201804,1,15,0,1,1,202312.0,6,6,1,0,12,1775189.0,1120481.0,1120481.0,X50,,"Religion Related, Spiritual Development"
112857501,TAIWAN CENTER INC,,13744 NORTHERN BLVD,FLUSHING,NY,11354-4122,0,3,3,1000,199408,1,15,200000000,1,1,202312.0,6,5,1,0,12,1758468.0,513643.0,496090.0,P840,,Human Services - Multipurpose and Other
133631727,CENTERLIGHT HEALTHCARE DIAGNOSTIC AND TREAMENT CENTER,,13665 37TH AVE,FLUSHING,NY,11354-4110,0,3,3,1000,199201,1,17,179000000,1,1,202312.0,6,8,1,0,12,1747511.0,18743734.0,18743734.0,E31Z,,Health - General and Rehabilitative
874548250,NY WUXIAN HUAGUANGDADI TEMPLE INC,,5502 138TH ST,FLUSHING,NY,11355-5036,0,3,3,7000,202305,1,10,0,1,1,202312.0,6,3,6,0,12,1587565.0,35127.0,35127.0,X50,,"Religion Related, Spiritual Development"
